conversation_id,question_type,judge_result,error_type,vacuous_pass,fact_in_store,summary_check_passed,entity_facts_in_retrieved,correctly_invoked,correctly_abstained,entity,distractor,ground_truth_answer,question,judge_reasoning,storage_reasoning,summary_reasoning,retrieval_reasoning,invocation_reasoning,abstention_reasoning,eval_input_tokens,eval_output_tokens,eval_cost
0962d6c0-57ff-4a13-a02b-b1c8bfb16690,misleading,,,False,,,,,,Elena Rossi,Zoe Kim,I don't have information about Zoe Kim.,Would Zoe Kim like Elena's lemon tarts with pistachio garnish?,,,,,,,400,22,0.0
9ce17ff1-d869-4b67-91da-0664066a0f40,base,,,False,,,,,,Elena Rossi,,"Use pistachios; Elena is an avid fan of pistachios and prefers them as a topping, and she dislikes neon-colored sprinkles.",What topping should I use on a tart for Elena Rossi?,,,,,,,405,64,0.0
a8ec4b4b-b7fc-46ef-9cce-bf127c8e3617,misleading,,,False,,,,,,Felix Andersen,Ravi Iyer,I don't have information about Ravi Iyer.,Where should Ravi Iyer set up a telescope to escape light pollution?,,,,,,,408,45,0.0
c5b3e69e-6de3-470b-a346-4307698db725,base,,,False,,,,,,Hana Sato,,"Avoid fresh-cut cedar: Hana refuses to use cedar because of a personal allergy, so cedar would be a bad choice for a gift.",What material should I avoid using in a gift for Hana Sato?,,,,,,,403,248,0.0
1ecab5f2-2a47-40ea-a1a0-1d4d189f8799,misleading,,,False,,,,,,Felix Andersen,Maya Patel,I don't have information about Maya Patel.,Would Maya Patel appreciate a smartphone app for star charts during a session?,,,,,,,415,38,0.0
3b42f3be-37db-4c52-b2a3-0773dd1ad504,base,,,False,,,,,,Nia Williams,,"No; Nia avoids sites within fifteen miles of city lights and prefers remote deserts or high plateaus, so a county park near town would likely be too light-polluted for her.",Would Nia Williams enjoy observing at the county park near town?,,,,,,,383,76,0.0
e5c6a242-7ff7-4db1-82b8-7d39de28c879,misleading,,,False,,,,,,Yuki Tanaka,Noah Brooks,I don't have information about Noah Brooks.,Do you know which dive site Noah Brooks should visit to see interesting wreck patinas?,,,,,,,431,31,0.0
ffbcebe3-017d-4665-9a72-9867ec0f00cc,misleading,,,False,,,,,,Nia Williams,Yuki Tanaka,I don't have information about Yuki Tanaka.,Do you have details about Yuki Tanaka's preferred observing sites?,,,,,,,415,230,0.0
4da7deca-2596-493e-b53c-6ab0cc1f7ec2,base,,,False,,,,,,Hana Sato,,"She prefers old factories or mills with preserved brick facades and visible original circulation, ending the tour at a communal courtyard she likes to include in projects.",What type of site would Hana Sato prefer to lead a walking tour through?,,,,,,,406,45,0.0
6fbccdbb-7dcf-4b78-84c0-b8bfe36ef3ea,base,,,False,,,,,,Nia Williams,,"Pack her compact 80mm refractor (or binoculars), a tripod, wool gloves, a bright yellow bandana, a checked blanket to sit on, a thermos and instant coffee, and unsalted almonds for snacks.",What should I pack for Nia Williams on a desert meteor-watching trip?,,,,,,,401,250,0.0
6ab31f56-4731-4662-a090-8a93fb1cb3b2,misleading,,,False,,,,,,Yuki Tanaka,Ava Thompson,I don't have information about Ava Thompson.,What field equipment should Ava Thompson bring for a mapping outing?,,,,,,,381,29,0.0
5b601697-0209-4976-9ea8-6a423b2a37ad,misleading,,,False,,,,,,Hana Sato,Anya Volkov,I don't have information about Anya Volkov.,Do you have advice for Anya Volkov about restoring a textile mill?,,,,,,,418,83,0.0
93189770-dd6e-4545-8715-4b7e5257a03f,base,,,False,,,,,,Yuki Tanaka,,"Bring a brass sextant or equivalent navigation tools, her handmade field notebook (or a heavyweight rag paper pad), and avoid shellfish for meals because she is allergic to shellfish.",What should I bring when taking Yuki Tanaka out on a coastal survey?,,,,,,,434,101,0.0
307bc8fe-3b92-4b0b-9a5b-eb506fee6c72,misleading,,,False,,,,,,Elena Rossi,Priya Shah,I don't have information about Priya Shah.,Do you know if Priya Shah eats raw-egg desserts from the counter?,,,,,,,381,49,0.0
d5bf582e-cb58-49e7-85b9-3b49798a0fd5,base,,,False,,,,,,Felix Andersen,,Bring sliced Swiss cheese; Felix keeps a little box of sliced Swiss cheese as his usual observing snack.,What snack should I bring for Felix Andersen on an observing night?,,,,,,,412,60,0.0
